px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.2615	-12.9225	-2.6358	-0.594175	-1.14027	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	2.26224
6.11014	-12.8675	-2.65927	-0.630628	-1.10977	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.91778
5.99865	-12.7563	-2.69956	-0.720257	-1.15741	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.62153
5.85794	-12.6906	-2.72685	-0.750381	-1.12479	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	2.43503
5.74909	-12.616	-2.68712	-0.77719	-1.07578	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.53507
5.60315	-12.5484	-2.70708	-0.798293	-1.03552	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	2.18348
5.49575	-12.4323	-2.72439	-0.861047	-1.0443	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.05286
5.34139	-12.3622	-2.74796	-0.868923	-0.992659	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	3.25531
5.23999	-12.2612	-2.73495	-0.907183	-0.972892	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.22714
5.09896	-12.1763	-2.75215	-0.919225	-0.930433	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	2.01841
5.0102	-12.0625	-2.76019	-0.963857	-0.927893	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.659693
4.88939	-11.9808	-2.77014	-0.97282	-0.890613	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	1.4675
4.80143	-11.8521	-2.7787	-1.02124	-0.891259	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.319725
4.70526	-11.7302	-2.78408	-1.05575	-0.876483	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.236711
4.63817	-11.6146	-2.74584	-1.09224	-0.860805	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.53561
4.56007	-11.496	-2.74121	-1.12629	-0.848821	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.312829
4.47937	-11.3391	-2.82506	-1.17664	-0.86107	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	26.6339
4.43521	-11.1981	-2.82866	-1.2274	-0.867999	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.128917
4.41581	-11.0622	-2.77835	-1.28795	-0.883057	4.43713	-11.024	4.45	-11.05	0	1.81614	10.2855
4.39422	-10.912	-2.77328	-1.34792	-0.89487	4.45136	-10.93	4.45	-10.95	0	1.81612	0.201529
4.37087	-10.763	-2.76906	-1.40151	-0.899862	4.44745	-10.786	4.45	-10.8	0	2.72555	0.0999239
4.37459	-10.6107	-2.76223	-1.46767	-0.917162	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.454463
4.37234	-10.4629	-2.75492	-1.52452	-0.925348	4.46329	-10.5756	4.45	-10.5	0	2.729	0.323289
4.38605	-10.3118	-2.7511	-1.58639	-0.936695	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.203704
4.4107	-10.1626	-2.74305	-1.65288	-0.955031	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.490569
